Year,Item,Value
1991,Apples,9620.0
1992,Apples,8410.0
1993,Apples,6560.0
1994,Apples,5460.0
1995,Apples,4900.0
1996,Apples,4580.0
1997,Apples,4150.0
1998,Apples,3410.0
1999,Apples,3900.0
2000,Apples,3530.0
2001,Apples,4480.0
2002,Apples,343.0
2003,Apples,424.0
2004,Apples,351.0
2005,Apples,299.0
2006,Apples,310.0
2007,Apples,397.0
2008,Apples,500.0
2009,Apples,360.0
2010,Apples,336.0
2010,Apples,305.0
2010,Apples,304.0
2010,Apples,316.0
2010,Apples,306.0
2010,Apples,244.0
2010,Apples,237.0
2010,Apples,295.0
2010,Apples,383.0
2010,Apples,409.0
2010,Apples,402.0
2010,Apples,460.0
2010,Apples,469.0
2011,Apples,457.0
2011,Apples,454.0
2011,Apples,454.0
2011,Apples,468.0
2011,Apples,468.0
2011,Apples,435.0
2011,Apples,429.0
2011,Apples,442.0
2011,Apples,484.0
2011,Apples,468.0
2011,Apples,380.0
2011,Apples,421.0
2011,Apples,405.0
2012,Apples,436.0
2012,Apples,376.0
2012,Apples,369.0
2012,Apples,381.0
2012,Apples,388.0
2012,Apples,364.0
2012,Apples,341.0
2012,Apples,502.0
2012,Apples,496.0
2012,Apples,476.0
2012,Apples,458.0
2012,Apples,470.0
2012,Apples,478.0
2013,Apples,535.0
2013,Apples,376.0
2013,Apples,369.0
2013,Apples,381.0
2013,Apples,388.0
2013,Apples,365.0
2013,Apples,342.0
2013,Apples,502.0
2013,Apples,496.0
2013,Apples,476.0
2013,Apples,458.0
2013,Apples,470.0
2013,Apples,478.0
2014,Apples,398.0
2014,Apples,449.0
2014,Apples,441.0
2014,Apples,427.0
2014,Apples,372.0
2014,Apples,367.0
2014,Apples,309.0
2014,Apples,380.0
2014,Apples,396.0
2014,Apples,363.0
2014,Apples,352.0
2014,Apples,304.0
2014,Apples,304.0
2015,Apples,390.0
2015,Apples,262.0
2015,Apples,262.0
2015,Apples,288.0
2015,Apples,369.0
2015,Apples,350.0
2015,Apples,361.0
2015,Apples,353.0
2015,Apples,444.0
2015,Apples,451.0
2015,Apples,429.0
2015,Apples,432.0
2015,Apples,432.0
2016,Apples,349.0
2017,Apples,564.0
2018,Apples,599.0
2019,Apples,482.0
2020,Apples,807.0
2021,Apples,901.0
2022,Apples,805.0
2023,Apples,804.0
1991,Apples,699.1
1992,Apples,611.2
1993,Apples,476.7
1994,Apples,396.8
1995,Apples,356.1
1996,Apples,332.8
1997,Apples,301.6
1998,Apples,247.8
1999,Apples,283.4
2000,Apples,256.5
2001,Apples,325.6
2002,Apples,343.0
2003,Apples,424.0
2004,Apples,351.0
2005,Apples,299.0
2006,Apples,310.0
2007,Apples,397.0
2008,Apples,500.0
2009,Apples,360.0
2010,Apples,336.0
2011,Apples,457.0
2012,Apples,436.0
2013,Apples,535.0
2014,Apples,398.0
2015,Apples,390.0
2016,Apples,349.0
2017,Apples,564.0
2018,Apples,599.0
2019,Apples,482.0
2020,Apples,807.0
2021,Apples,901.0
2022,Apples,805.0
2023,Apples,804.0
1991,Apples,823.9
1992,Apples,765.3
1993,Apples,564.0
1994,Apples,478.0
1995,Apples,486.0
1996,Apples,432.6
1997,Apples,340.0
1998,Apples,275.5
1999,Apples,302.0
2000,Apples,236.4
2001,Apples,291.3
2002,Apples,322.8
2003,Apples,478.5
2004,Apples,435.8
2005,Apples,371.8
2006,Apples,388.9
2007,Apples,543.4
2008,Apples,732.4
2009,Apples,500.1
2010,Apples,445.0
2011,Apples,635.3
2012,Apples,560.2
2013,Apples,710.3
2014,Apples,528.0
2015,Apples,432.5
2016,Apples,386.0
2017,Apples,637.1
2018,Apples,707.4
2019,Apples,539.6
2020,Apples,921.8
2021,Apples,1065.6
2022,Apples,846.6
2023,Apples,869.3
1991,Apples,184.46
1992,Apples,161.26
1993,Apples,125.79
1994,Apples,104.69
1995,Apples,93.96
1996,Apples,87.82
1997,Apples,79.58
1998,Apples,65.39
1999,Apples,74.78
2000,Apples,67.69
2001,Apples,85.9
2002,Apples,90.5
2003,Apples,111.87
2004,Apples,92.61
2005,Apples,78.89
2006,Apples,81.79
2007,Apples,104.75
2008,Apples,131.93
2009,Apples,94.99
2010,Apples,88.65
2011,Apples,120.58
2012,Apples,115.04
2013,Apples,141.16
2014,Apples,105.01
2015,Apples,102.9
2016,Apples,92.08
2017,Apples,148.81
2018,Apples,158.05
2019,Apples,127.18
2020,Apples,212.93
2021,Apples,237.73
2022,Apples,212.4
2023,Apples,212.14
2024,Apples,211.87
1995,"Beans, dry",32670.0
1996,"Beans, dry",38000.0
1997,"Beans, dry",38500.0
1998,"Beans, dry",40000.0
1999,"Beans, dry",40000.0
2000,"Beans, dry",40000.0
2001,"Beans, dry",40000.0
2002,"Beans, dry",2910.0
2003,"Beans, dry",2910.0
2004,"Beans, dry",2910.0
2005,"Beans, dry",2910.0
2006,"Beans, dry",2910.0
2007,"Beans, dry",2910.0
2008,"Beans, dry",2910.0
2009,"Beans, dry",2910.0
2010,"Beans, dry",2708.0
2010,"Beans, dry",2910.0
2010,"Beans, dry",2910.0
2010,"Beans, dry",2910.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2010,"Beans, dry",2630.0
2011,"Beans, dry",2678.0
2011,"Beans, dry",2630.0
2011,"Beans, dry",2630.0
2011,"Beans, dry",2630.0
2011,"Beans, dry",2630.0
2011,"Beans, dry",2630.0
2011,"Beans, dry",2630.0
2011,"Beans, dry",2630.0
2011,"Beans, dry",2570.0
2011,"Beans, dry",2550.0
2011,"Beans, dry",2550.0
2011,"Beans, dry",2910.0
2011,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2012,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2014,"Beans, dry",3900.0
2015,"Beans, dry",3849.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",3800.0
2015,"Beans, dry",4500.0
2016,"Beans, dry",4619.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4500.0
2016,"Beans, dry",4825.0
2016,"Beans, dry",4650.0
2017,"Beans, dry",4847.0
2017,"Beans, dry",4650.0
2017,"Beans, dry",4650.0
2017,"Beans, dry",4650.0
2017,"Beans, dry",4860.0
2017,"Beans, dry",4930.0
2017,"Beans, dry",4930.0
2017,"Beans, dry",4930.0
2017,"Beans, dry",4930.0
2017,"Beans, dry",4930.0
2017,"Beans, dry",4930.0
2017,"Beans, dry",4930.0
2017,"Beans, dry",4780.0
2018,"Beans, dry",4616.0
1995,"Beans, dry",2374.2
1996,"Beans, dry",2761.6
1997,"Beans, dry",2797.9
1998,"Beans, dry",2906.9
1999,"Beans, dry",2906.9
2000,"Beans, dry",2906.9
2001,"Beans, dry",2906.9
2002,"Beans, dry",2910.0
2003,"Beans, dry",2910.0
2004,"Beans, dry",2910.0
2005,"Beans, dry",2910.0
2006,"Beans, dry",2910.0
2007,"Beans, dry",2910.0
2008,"Beans, dry",2910.0
2009,"Beans, dry",2910.0
2010,"Beans, dry",2708.0
2011,"Beans, dry",2678.0
2012,"Beans, dry",3020.0
2013,"Beans, dry",3020.0
2014,"Beans, dry",3900.0
2015,"Beans, dry",3849.0
2016,"Beans, dry",4619.0
2017,"Beans, dry",4847.0
2018,"Beans, dry",4616.0
1995,"Beans, dry",3240.6
1996,"Beans, dry",3589.5
1997,"Beans, dry",3154.6
1998,"Beans, dry",3231.3
1999,"Beans, dry",3097.1
2000,"Beans, dry",2678.2
2001,"Beans, dry",2601.3
2002,"Beans, dry",2738.7
2003,"Beans, dry",3284.3
2004,"Beans, dry",3613.3
2005,"Beans, dry",3618.9
2006,"Beans, dry",3650.5
2007,"Beans, dry",3982.8
2008,"Beans, dry",4262.6
2009,"Beans, dry",4042.5
2010,"Beans, dry",3586.5
2011,"Beans, dry",3722.8
2012,"Beans, dry",3880.3
2013,"Beans, dry",4009.8
2014,"Beans, dry",5174.3
2015,"Beans, dry",4268.8
2016,"Beans, dry",5109.3
2017,"Beans, dry",5475.6
2018,"Beans, dry",5451.3
1991,"Beans, dry",50.26
1992,"Beans, dry",52.6
1993,"Beans, dry",51.36
1994,"Beans, dry",55.83
1995,"Beans, dry",57.59
1996,"Beans, dry",66.98
1997,"Beans, dry",67.87
1998,"Beans, dry",70.51
1999,"Beans, dry",70.51
2000,"Beans, dry",70.51
2001,"Beans, dry",70.51
2002,"Beans, dry",70.59
2003,"Beans, dry",70.59
2004,"Beans, dry",70.59
2005,"Beans, dry",70.59
2006,"Beans, dry",70.59
2007,"Beans, dry",70.59
2008,"Beans, dry",70.59
2009,"Beans, dry",70.59
2010,"Beans, dry",65.69
2011,"Beans, dry",64.96
2012,"Beans, dry",73.25
2013,"Beans, dry",73.25
2014,"Beans, dry",94.6
2015,"Beans, dry",93.36
2016,"Beans, dry",112.04
2017,"Beans, dry",117.57
2018,"Beans, dry",111.97
2019,"Beans, dry",112.26
2020,"Beans, dry",112.22
2021,"Beans, dry",111.46
2022,"Beans, dry",111.26
2023,"Beans, dry",111.05
2024,"Beans, dry",110.84
1991,Carrots and turnips,3860.0
1992,Carrots and turnips,3020.0
1993,Carrots and turnips,2380.0
1994,Carrots and turnips,3070.0
1995,Carrots and turnips,2470.0
1996,Carrots and turnips,1950.0
1997,Carrots and turnips,2650.0
1998,Carrots and turnips,2160.0
1999,Carrots and turnips,2870.0
2000,Carrots and turnips,2500.0
2001,Carrots and turnips,2870.0
2002,Carrots and turnips,194.0
2003,Carrots and turnips,172.0
2004,Carrots and turnips,135.0
2005,Carrots and turnips,117.0
2006,Carrots and turnips,234.0
2007,Carrots and turnips,237.0
2008,Carrots and turnips,293.0
2009,Carrots and turnips,297.0
2010,Carrots and turnips,333.0
2010,Carrots and turnips,271.0
2010,Carrots and turnips,304.0
2010,Carrots and turnips,343.0
2010,Carrots and turnips,368.0
2010,Carrots and turnips,367.0
2010,Carrots and turnips,367.0
2010,Carrots and turnips,418.0
2010,Carrots and turnips,389.0
2010,Carrots and turnips,357.0
2010,Carrots and turnips,357.0
2010,Carrots and turnips,350.0
2010,Carrots and turnips,311.0
2011,Carrots and turnips,315.0
2011,Carrots and turnips,336.0
2011,Carrots and turnips,381.0
2011,Carrots and turnips,390.0
2011,Carrots and turnips,404.0
2011,Carrots and turnips,407.0
2011,Carrots and turnips,407.0
2011,Carrots and turnips,360.0
2011,Carrots and turnips,303.0
2011,Carrots and turnips,280.0
2011,Carrots and turnips,245.0
2011,Carrots and turnips,231.0
2011,Carrots and turnips,244.0
2012,Carrots and turnips,413.0
2012,Carrots and turnips,254.0
2012,Carrots and turnips,280.0
2012,Carrots and turnips,304.0
2012,Carrots and turnips,431.0
2012,Carrots and turnips,439.0
2012,Carrots and turnips,668.0
2012,Carrots and turnips,641.0
2012,Carrots and turnips,517.0
2012,Carrots and turnips,458.0
2012,Carrots and turnips,428.0
2012,Carrots and turnips,416.0
2012,Carrots and turnips,413.0
2013,Carrots and turnips,431.0
2013,Carrots and turnips,254.0
2013,Carrots and turnips,280.0
